1,49182,66
2,49182,75
3,49182,66
4,49182,69
5,49182,74
6,49014,75
7,49035,70
8,49182,72
9,49161,75
10,49266,72
11,49182,73
12,49140,71
13,49350,71
14,21000000,63
15,49035,68
16,49182,73
17,48993,77
18,49182,77
19,49287,73
20,49182,67
21,49182,67
22,49182,74
23,49213,65
24,49161,70
25,49413,77
26,49140,75
27,49182,69
28,49182,78
29,49182,71
30,49182,71
31,49182,66
32,49182,73
33,48993,70
34,49182,70
35,49182,73
36,49287,75
37,49182,71
38,49182,72
39,49119,76
40,41638,67
41,46662,70
42,49182,73
43,49161,71
44,49161,68
45,49350,73
46,49182,73
47,49182,69
48,49182,74
49,49224,71
50,49371,79
51,49208,67
52,49161,70
53,49182,70
54,49191,74
55,49182,79
56,49182,62
57,49182,70
58,49182,75
59,49413,74
60,49182,72
61,49182,74
62,49077,70
63,49182,72
64,49266,78
65,49371,69
66,49203,72
67,49182,68
68,49161,73
69,49203,70
70,49161,72
71,49182,70
72,49182,73
73,49308,68
74,49287,73
75,49056,70
76,49182,65
77,49266,70
78,49182,71
79,49170,66
80,49182,70
81,49182,66
82,49140,71
83,49224,72
84,49182,72
85,49182,75
86,49266,73
87,49182,72
88,49350,74
89,49182,79
90,49182,65
91,49287,73
92,49371,69
93,49182,70
94,49371,72
95,49182,69
96,49161,67
97,49392,66
98,49287,78
99,49287,67
100,49182,68
101,48993,70
102,46872,71
103,48192,75
104,48993,70
105,49182,72
106,49182,69
107,49266,70
108,49182,73
109,49203,72
110,49182,74
111,49140,73
112,49213,69
113,49182,59
114,49182,73
115,49203,67
116,49182,72
117,48993,71
118,49182,72
119,49203,64
120,49182,70
121,49203,72
122,49224,71
123,49182,72
124,49371,75
125,49014,71
126,49170,68
127,49287,66
128,49266,68
129,49182,73
130,49287,66
131,49140,75
132,49161,72
133,49371,71
134,49182,71
135,49163,72
136,49182,70
137,49161,71
138,42252,70
139,49182,77
140,49812,71
141,49182,71
142,49182,71
